"Fri Dec 11 22:03:08 +0000 2015 Reminder:  CLOSED both directions on Saturdays &amp; Sundays, 12/5 thru 12/20, 7am-3pm. Details below: ",Relevant
"Fri Dec 11 21:03:29 +0000 2015 REMINDER:  96th St Transverse closed tomorrow, Sat 12/12 from 12:01am-6am. ",Relevant
Fri Dec 11 19:51:28 +0000 2015  Call 212-839-4750 for an appointment for a free car seat check by a certified car seat technician. Next check in Queens is 12/23,Non-Relevant
"Fri Dec 11 19:13:29 +0000 2015   Please write to our Commissioner to share this (select ""employee""): ",Non-Relevant
Fri Dec 11 18:45:16 +0000 2015  Check out this weekend's traffic advisory here:  ,Non-Relevant
Fri Dec 11 17:46:17 +0000 2015 Schedule an appt for your free  check in  12/15 at  Parking Lot:  ,Non-Relevant
Fri Dec 11 16:20:14 +0000 2015 Surveyor has marked alignment for barriers to be installed on  side of    ,Non-Relevant
Fri Dec 11 15:39:50 +0000 2015 btn  &amp;  making it easier to cross the street!    (2/2),Non-Relevant
"Fri Dec 11 15:39:02 +0000 2015 Thanks to  residents for working with us, this spring we'll install a midblock crossing &amp; traffic signal on  (1/2)",Non-Relevant
Fri Dec 11 14:44:07 +0000 2015  Please contact our Mn Boro Comm office for more info regarding this location: ,Non-Relevant
Fri Dec 11 14:36:23 +0000 2015  Please report your  complaint to  here's the link: ,Non-Relevant
Fri Dec 11 14:33:47 +0000 2015  Please report bridge lighting issue to  here:  Thank you,Non-Relevant
Thu Dec 10 20:00:45 +0000 2015   lane update: Contractors began drilling into concrete barriers for base plates' anchor bolts ,Non-Relevant
"Thu Dec 10 19:53:40 +0000 2015  NYPD closes South Outer Roadway of lower level 9pm to 6am, nightly. Please see  for scheduled closures",Relevant
Thu Dec 10 19:36:31 +0000 2015   You may make a complaint about a DOT employee by writing to our Commissioner here: ,Non-Relevant
"Thu Dec 10 19:05:36 +0000 2015 Last night we joined  &amp;  residents,  &amp;  to discuss street safety &amp; design ",Non-Relevant
"Thu Dec 10 18:39:08 +0000 2015  Please submit your request via the  website, under Actions&gt;Contact Dataset Owner: ",Non-Relevant
Thu Dec 10 17:36:16 +0000 2015  And please report illegal parking to  or local police precinct. ,Non-Relevant
Thu Dec 10 17:35:13 +0000 2015  Please feel free to contact our Boro Comm's office regarding this location: ,Non-Relevant
Thu Dec 10 17:26:17 +0000 2015  Please call  to report an issue with a City vehicle.,Non-Relevant
Thu Dec 10 17:24:43 +0000 2015    Please report construction blocking the street to  here: ,Non-Relevant
"Thu Dec 10 16:03:11 +0000 2015  Please report the employee's behavior to our Commissioner's office here:  (select ""employee"")",Non-Relevant
"Thu Dec 10 15:48:35 +0000 2015  Fri Dec 11th: Plan ahead to walk,  or take public transit to avoid congestion on  ",Non-Relevant
Thu Dec 10 15:28:13 +0000 2015   Have you reported to  Please check status of your request here: ,Non-Relevant
Thu Dec 10 15:19:44 +0000 2015  Please share your transportation suggestion with DOT by writing to Borough Commissioner's office: ,Non-Relevant
Thu Dec 10 15:04:16 +0000 2015  Two resurfacing crews completed paving on the UWS last night. We resurface at night in Mn due to heavy ped/vehicular traffic,Non-Relevant
Thu Dec 10 14:52:34 +0000 2015  Please contact NYPD regarding traffic enforcement.,Non-Relevant
Thu Dec 10 13:03:22 +0000 2015 Reminder: Today (12/10)  single lane closures begin from 10am-3pm ,Relevant
Wed Dec 09 19:55:49 +0000 2015 Calling  &amp;   is now accepting  applications!  ,Non-Relevant
Wed Dec 09 17:05:43 +0000 2015 Monday 12/14 10AM-3PM  pedestrian &amp;  path will be narrowed for cleaning of drainage system. ,Relevant
Wed Dec 09 16:15:13 +0000 2015  full closure for vehicles  ped 12/16-12/18 12:01-5AM &amp; 12/19 1-6AM.Alt  ,Relevant
"Wed Dec 09 15:12:33 +0000 2015  If you have add'l feedback about this, please write to DOT here: ",Non-Relevant
"Wed Dec 09 15:12:02 +0000 2015  Signs are posted 24-48hours in advance of scheduled road work. If not moved, we relocate cars to nearest legal spot available (1/2)",Relevant
Wed Dec 09 15:08:52 +0000 2015  We comply with directives set by Dept of Homeland Security  &amp; enforced by ,Non-Relevant
Wed Dec 09 14:58:36 +0000 2015  Please contact DOT's Borough Commissioner office for more info regarding this location/project: ,Non-Relevant
Wed Dec 09 14:46:30 +0000 2015  Please share your inquiry with NYPD. DOT is not an enforcement agency.,Non-Relevant
Wed Dec 09 14:05:54 +0000 2015 Reminder: 2nd public mtg   Transportation study tomorrow 12/10 7:30pm  ,Non-Relevant
Wed Dec 09 13:32:11 +0000 2015 TODAY:  vehicular lane closures on Lower Roadway: 10AM-2PM &amp; Upper Roadway: 10PM-5AM ,Relevant
Tue Dec 08 22:23:29 +0000 2015  Please feel free to share feedback regarding this location here: ,Non-Relevant
Tue Dec 08 22:22:25 +0000 2015  Information about Park Ave traffic calming project may be found here: ,Non-Relevant
Tue Dec 08 22:07:16 +0000 2015    Please report location of sidewalk blocked by construction to  ,Non-Relevant
Tue Dec 08 22:06:55 +0000 2015   Stay tuned to  &amp;  for updates on road closure at this location,Relevant
Tue Dec 08 20:53:20 +0000 2015    Please report location of sidewalk blocked by construction to  ,Non-Relevant
"Tue Dec 08 19:19:19 +0000 2015 Help plan   share for  on Mon 12/14, hosted by   ",Non-Relevant
"Tue Dec 08 17:35:34 +0000 2015 Schedule an appt for one of our two   checks this Fri, 12/11. More info on  ",Non-Relevant
Tue Dec 08 17:31:39 +0000 2015  What info are you looking for?,Non-Relevant
Tue Dec 08 17:00:42 +0000 2015   Please share your feedback with  re:  shuttle over Queensboro Bridge during ConEd work last night.,Non-Relevant
Tue Dec 08 15:22:26 +0000 2015 Paving Irving Pl at Targee St today on  with a helping hand from  ,Non-Relevant
"Tue Dec 08 14:03:40 +0000 2015  single lane closures on 12/10, 10am-3pm ",Relevant
"Mon Dec 07 21:35:12 +0000 2015 Nightly  vehicular lane closures next week: 12/14+12/15 10PM-5AM, and 12/16 12:01AM-5:40AM ",Relevant
Mon Dec 07 21:00:27 +0000 2015  nightly lane closures &amp; full closures of North Tube continuing thru 12/24; details below: ,Relevant
Mon Dec 07 20:23:09 +0000 2015  Contact our Manhattan Borough Commissioners office with additional feedback/?'s for this location  (2/2),Non-Relevant
"Mon Dec 07 20:21:59 +0000 2015  Signal allows all-pedestrian phase, so pedestrians cross while vehicles held. More info pg 29:  (1/2)",Non-Relevant
Mon Dec 07 20:15:15 +0000 2015 Join us for 2nd public mtg   Transportation study Thurs 12/10 7:30pm  ,Non-Relevant
Mon Dec 07 18:40:43 +0000 2015  Please call  to report an issue with a City vehicle.,Non-Relevant
Mon Dec 07 18:35:51 +0000 2015  Transportation &amp; Housing Study Public workshop  12/15... ,Non-Relevant
Mon Dec 07 18:05:13 +0000 2015  Rehabilitation Project: One-Week Lookahead for  More on  ,Non-Relevant
"Mon Dec 07 17:36:35 +0000 2015  suspended tomorrow, Tues 12/8. Parking meters remain in effect. Follow  for daily updates. ",Non-Relevant
"Mon Dec 07 16:38:55 +0000 2015  Thanks, please be sure to thank  too!",Non-Relevant
Mon Dec 07 15:48:57 +0000 2015   Hugh L Carey/Battery Tunnel maintained by  Bridges &amp; Tunnels. More info on MTA website: ,Non-Relevant
"Mon Dec 07 15:46:10 +0000 2015 Tonight  vehicular lane closures: Upper Roadway: 12/7 &amp; 12/9 10PM-5AM, Lower Roadway: 12/9 10AM-2PM ",Relevant
Mon Dec 07 15:41:43 +0000 2015  Please share your transportation related suggestion with our Borough Commissioner's office here: ,Non-Relevant
Mon Dec 07 15:38:05 +0000 2015  Report faded markings to   Share markings request with DOT's Boro Comm: ,Non-Relevant
"Mon Dec 07 15:32:42 +0000 2015 Early morning full bridge closures for  12/8-12/12, approx 12:01AM-5AM  ",Relevant
Mon Dec 07 15:10:09 +0000 2015  Report unsafe condition with an  bus to MTA ,Non-Relevant
Mon Dec 07 15:05:46 +0000 2015     Report crash to 911. For transportation suggestions ,Non-Relevant
Mon Dec 07 14:58:59 +0000 2015  Please check with  Bridges &amp; Tunnels for info on the Verrazano Bridge ,Non-Relevant
"Mon Dec 07 14:46:01 +0000 2015  lane closures under  &amp;  bridges one day only 12/10, 10am-3pm (weather permitting) ",Relevant
Mon Dec 07 14:05:55 +0000 2015 Join DOT's Street Ambassadors at  Mall to discuss    ,Non-Relevant
"Mon Dec 07 14:03:50 +0000 2015 REMINDER:   &amp; ped path CLOSED tonight 12/7, 10pm-5am.  providing shuttle bus. ",Relevant
"Fri Dec 04 22:02:53 +0000 2015 Reminder:  CLOSED both directions on Saturdays &amp; Sundays, 12/5 thru 12/20, 7am-3pm. Details below: ",Relevant
"Fri Dec 04 21:56:19 +0000 2015 RESCHEDULED: This  Westbound Traffic Shift has been rescheduled for Wednesday, 12/9 at 10pm. See below: ",Relevant
"Fri Dec 04 21:03:48 +0000 2015 REMINDER:  86th St Transverse closed tomorrow, Sat 12/5 from 12:01am-6am.",Relevant
Fri Dec 04 20:15:27 +0000 2015 Stop by our upcoming   checks on 12/8 &amp; 12/23 in  Call 212-839-4750 for an appointment. ,Non-Relevant
"Fri Dec 04 19:41:37 +0000 2015  lane closures under  and  bridges on 12/9, 10am-3pm (weather permitting) ",Relevant
Fri Dec 04 18:20:53 +0000 2015 Join our public workshop  Transportation &amp; Housing Study  on 12/15  ,Non-Relevant
"Fri Dec 04 17:15:15 +0000 2015 W.155th St Viaduct of  Bx-bound lane closure &amp; full sidewalk closure from 12/8 thru 12/10, 10am-3pm ",Relevant
Fri Dec 04 15:58:05 +0000 2015 Get the latest news on projects making NYC's  beautiful w/  newsletter!  ,Non-Relevant
"Fri Dec 04 15:03:31 +0000 2015  lane closure 12/7 from 7am-3pm, intermittent 15-min full bridge closure 12/15 from 10am-2pm. ",Relevant
"Fri Dec 04 15:03:19 +0000 2015 More  pedestrian,  &amp; vehicular lane closures happening next week.  ",Relevant
"Thu Dec 03 23:49:09 +0000 2015   wayfinding,  are a few of our programs improving NYC's public space.  ",Non-Relevant
"Thu Dec 03 23:25:32 +0000 2015  creates access to healthy food, physical activity &amp; safe public spaces  ",Non-Relevant
Thu Dec 03 21:16:06 +0000 2015  Westbound Traffic Shift between  &amp; the  begins at 10pm on Mon 12/7 ,Relevant
Thu Dec 03 21:15:40 +0000 2015 We are proud to join Assembly Member  in support of  with disabilities  ,Non-Relevant
"Thu Dec 03 19:46:09 +0000 2015 Early morning full bridge closures for  12/8-12/12, approx 12:01AM-5AM  ",Relevant
Thu Dec 03 19:30:57 +0000 2015 Join our  Fall Teleconference  today at 3pmEST via WebEx (more details in pic)  ,Non-Relevant
"Thu Dec 03 18:16:13 +0000 2015 Join us,  to help plan   in  on Mon 12/14 6/7pm hosted by  ",Non-Relevant
Thu Dec 03 18:05:59 +0000 2015  The Verrazano Bridge is owned and maintained by  Bridges and Tunnels. ,Non-Relevant
Thu Dec 03 15:47:56 +0000 2015 In  today announcing 500-truck milestone in  Program   ,Non-Relevant
"Thu Dec 03 14:03:41 +0000 2015 TONIGHT   &amp; ped path CLOSED 12/6 &amp; 12/7, 10pm-5am  work. Shuttle bus available ",Relevant
Thu Dec 03 01:40:02 +0000 2015 Thanks to residents and local stakeholders for sharing travel and mobility ideas for  ,Non-Relevant
"Thu Dec 03 00:48:19 +0000 2015 Discussing transportation safety  tonight with local residents,  &amp;   ",Non-Relevant
Wed Dec 02 23:34:26 +0000 2015   You may contact our Brooklyn Borough Commissioner's office regarding this location: ,Non-Relevant
"Wed Dec 02 23:27:23 +0000 2015   provides free wifi service on SIFerry. If there is an issue, please report to  here: ",Non-Relevant
Wed Dec 02 23:19:29 +0000 2015  Please share your complaint with  here: ,Non-Relevant
Wed Dec 02 22:45:14 +0000 2015  Please report location of faded markings to  here:  Suggestions? Email ,Non-Relevant
"Wed Dec 02 21:25:13 +0000 2015  The shared bike/ped path across Pulaski Bridge is open during construction, though there may be brief closures during work hours.",Relevant
"Wed Dec 02 21:17:48 +0000 2015 Due to a heavy fog, the  will be operating on a modified schedule during PM rush hour (boats approx every 20 min) ",Non-Relevant
"Wed Dec 02 18:55:27 +0000 2015 Upcoming  vehicular lane closures: Upper Roadway: 12/7 &amp; 12/9 10PM-5AM, Lower Roadway: 12/9 10AM-2PM ",Relevant
Wed Dec 02 18:09:56 +0000 2015  We do but please report the meter # and location to  so that it may be logged and repaired. Thx! ,Non-Relevant
Wed Dec 02 17:57:24 +0000 2015   from  to     ,Non-Relevant
Wed Dec 02 17:20:07 +0000 2015 Check out the progress on the  bike path:  ,Non-Relevant
Wed Dec 02 16:44:51 +0000 2015  Please feel free to call  or contact  regarding NYS DOT number.,Non-Relevant
"Wed Dec 02 16:28:34 +0000 2015   Update: For transportation issues along Vernon Blvd, please contact our Queens BC office: ",Non-Relevant
Wed Dec 02 16:23:27 +0000 2015   Pls report illegal parking to local NYPD precinct. Share transportation-related issue w/DOT: ,Non-Relevant
Wed Dec 02 16:12:00 +0000 2015  Thanks for the input. Please share your suggestion with DOT here: ,Non-Relevant
"Wed Dec 02 16:04:15 +0000 2015 Nearly 39,000  share trips per day recorded Oct 2015, a growth of 46% compared to Oct 2014.  ",Non-Relevant
Wed Dec 02 15:57:33 +0000 2015 We're focused on building out NYC's  lane network &amp; finishing the roll-out of our next phase of   2/2,Non-Relevant
Wed Dec 02 15:57:13 +0000 2015 DOT is aggressively pursuing  ambitious goal of doubling  trips in NYC by 2020. 1/2 ,Non-Relevant
Wed Dec 02 15:47:30 +0000 2015 The Draft Plan for  Share Expansion in  is available on our website:  ,Non-Relevant
"Wed Dec 02 14:43:48 +0000 2015  Please contact NYPD regarding traffic agents. For transportation related inquiries, please contact DOT: ",Non-Relevant
"Wed Dec 02 14:16:54 +0000 2015  Transverses Closures: 86th Street closed 12/5, 12:01am-6am. 96th Street closed 12/12, 12:01am-6am. ",Relevant
Tue Dec 01 21:40:22 +0000 2015 DOT Street Ambassadors assist riders with new     ,Non-Relevant
Tue Dec 01 21:30:27 +0000 2015 NYC's 9th  route has launched!  SBS connects 13.9miles btn     ,Non-Relevant
Tue Dec 01 21:15:58 +0000 2015 Tonight's lane closures on  roadway have been postponed due to weather.,Relevant
"Tue Dec 01 21:03:11 +0000 2015 Extended:  CLOSED both directions on Saturdays &amp; Sundays, 12/5 thru 12/20, 7am-3pm. Details below: ",Relevant
Tue Dec 01 19:43:40 +0000 2015 Please  21 signs have been installed along 11 corridors on   ,Non-Relevant
Tue Dec 01 18:35:49 +0000 2015 Reminder:  Transportation Study public meeting Wed 12/2.  ,Non-Relevant
Tue Dec 01 17:47:15 +0000 2015  workshop happening now in   ,Non-Relevant
"Tue Dec 01 17:32:34 +0000 2015 Reminder: Expect lane closures on  tonight + Thur 12/3, 10PM-5AM for preventative maintenance work. ",Relevant
Tue Dec 01 16:59:40 +0000 2015  Rehabilitation Project: one week lookahead for  ,Non-Relevant
Tue Dec 01 15:33:46 +0000 2015  Please share your transportation concern/suggestion with our Borough Commissioner's office: ,Non-Relevant
"Tue Dec 01 15:05:44 +0000 2015  for Wed 12/2. Please consider walking, biking or taking public transit to avoid heavy traffic. ",Non-Relevant
"Tue Dec 01 14:47:58 +0000 2015   rules are in effect today, Dec 1st. Follow  for daily updates, or view ASP calendar: ",Non-Relevant
Tue Dec 01 14:06:04 +0000 2015 Today:  lane closures btn 12:01-3PM. Cyclists may need to dismount to pass work area  ,Relevant
Mon Nov 30 22:42:08 +0000 2015 23 Days of  cheer! Share your  pics:    ,Non-Relevant
Mon Nov 30 22:15:11 +0000 2015 Make sure to schedule a free car seat check in  tomorrow &amp; Friday! See  for info. ,Non-Relevant
"Mon Nov 30 21:50:14 +0000 2015   &amp; pedestrian path CLOSED on 12/3 &amp; 12/7, from 10pm-5am. Shuttle bus available, see below: ",Relevant
