Reminder: westbound traffic shift btn & exit begins tonight at 11PM.,reminder westbound,"BeltParkway,MillBasinBridge,FlatbushAve",,12-12-2015,11PM
"Reminder: CLOSED both directions on Saturdays & Sundays, 12/5 thru 12/20, 7am-3pm. Details below:",reminder closed both,GrandStreetBridge,,05-12-2015 to 20-12-2015,7am-3pm
"REMINDER: 96th St Transverse closed tomorrow, Sat 12/12 from 12:01am-6am.",reminder closed,CentralPark,,12-12-2015,12:01am-6am
Reminder: Today (12/10) single lane closures begin from 10am-3pm,reminder lane closures,WilliamsburgBridge,,10-12-2015,10am-3pm
Monday 12/14 10AM-3PM pedestrian & path will be narrowed for cleaning of drainage system.,path,"QueensboroBridge,bikenyc",,14-12-2015,10AM-3PM
full closure for vehicles ped 12/16-12/18 12:01-5AM & 12/19 1-6AM.Alt,full closure vehicles,"MetropolitanAveBridge,bikenyc,GrandStBridge",,16-12-2015 to 18-12-2015,12:01-5AM
,,,,19-12-2015,1-6AM
TODAY: vehicular lane closures on Lower Roadway: 10AM-2PM & Upper Roadway: 10PM-5AM,vehicular lane closures lower roadway upper roadway,ManhattanBridge,,09-12-2015,10AM-2PM
"single lane closures on 12/10, 10am-3pm",lane closures,WilliamsburgBridge,,10-12-2015,10am-3pm
"Nightly vehicular lane closures next week: 12/14+12/15 10PM-5AM, and 12/16 12:01AM-5:40AM",vehicular lane closures,ManhattanBridge,,16-12-2015,12:01AM-5:40AM
,,,,14-12-2015 and 15-12-2015,10PM-5AM
nightly lane closures & full closures of North Tube continuing thru 12/24; details below:,lane closures full closures north tube continuing,BatteryParkUnderpass,,24-12-2015,empty
"Tonight vehicular lane closures: Upper Roadway: 12/7 & 12/9 10PM-5AM, Lower Roadway: 12/9 10AM-2PM",vehicular lane closures upper roadway lower roadway,ManhattanBridge,,07-12-2015 and 09-12-2015,10PM-5AM
"Early morning full bridge closures for 12/8-12/12, approx 12:01AM-5AM",full bridge closures,MetropolitanAveBridge,,08-12-2015 to 12-12-2015,12:01AM-5AM
"lane closures under & bridges one day only 12/10, 10am-3pm (weather permitting)",lane closures bridges,"BQE,BulovaAve,49thStreet",,10-12-2015,10am-3pm
"REMINDER: & ped path CLOSED tonight 12/7, 10pm-5am. providing shuttle bus.",reminder path closed,"QueensboroBridge,bikenyc",,07-12-2015,10pm-5am
"Reminder: CLOSED both directions on Saturdays & Sundays, 12/5 thru 12/20, 7am-3pm. Details below:",reminder closed both,GrandStreetBridge,,05-12-2015 to 20-12-2015,7am-3pm
"RESCHEDULED: This Westbound Traffic Shift has been rescheduled for Wednesday, 12/9 at 10pm. See below:",rescheduled westbound rescheduled,BeltParkway,,09-12-2015,10pm
"REMINDER: 86th St Transverse closed tomorrow, Sat 12/5 from 12:01am-6am.",reminder closed,CentralPark,,05-12-2015,12:01am-6am
"lane closures under and bridges on 12/9, 10am-3pm (weather permitting)",lane closures bridges,"JackieRobinsonPkwy,UnionTurnpike,MyrtleAve",,09-12-2015,10am-3pm
"W.155th St Viaduct of Bx-bound lane closure & full sidewalk closure from 12/8 thru 12/10, 10am-3pm",lane closure full closure,MacombsDamBridge,,08-12-2015 to 10-12-2015,10am-3pm
"lane closure 12/7 from 7am-3pm, intermittent 15-min full bridge closure 12/15 from 10am-2pm.",lane closure full bridge closure,RooseveltIslandBridge,,15-12-2015,10am-2pm
,,,,07-12-2015,7am-3pm
"Early morning full bridge closures for 12/8-12/12, approx 12:01AM-5AM",full bridge closures,MetropolitanAveBridge,,08-12-2015 to 12-12-2015,12:01AM-5AM
"TONIGHT & ped path CLOSED 12/6 & 12/7, 10pm-5am work. Shuttle bus available",path closed,"QueensboroBridge,bikenyc",,03-12-2015 and 06-12-2015 and 07-12-2015,10pm-5am
"Upcoming vehicular lane closures: Upper Roadway: 12/7 & 12/9 10PM-5AM, Lower Roadway: 12/9 10AM-2PM",vehicular lane closures upper roadway lower roadway,ManhattanBridge,,07-12-2015 and 09-12-2015,10PM-5AM
"Transverses Closures: 86th Street closed 12/5, 12:01am-6am. 96th Street closed 12/12, 12:01am-6am.",closures street closed street closed,CentralPark,,05-12-2015 and 12-12-2015,12:01am-6am
Tonight's lane closures on roadway have been postponed due to weather.,lane closures roadway postponed,QueensboroBridge,,01-12-2015,empty
"Extended: CLOSED both directions on Saturdays & Sundays, 12/5 thru 12/20, 7am-3pm. Details below:",extended closed both,GrandStreetBridge,,05-12-2015 to 20-12-2015,7am-3pm
"Reminder: Expect lane closures on tonight + Thur 12/3, 10PM-5AM for preventative maintenance work.",reminder lane closures,QueensboroBridge,,01-12-2015 and 03-12-2015,10PM-5AM
Today: lane closures btn 12:01-3PM. Cyclists may need to dismount to pass work area,lane closures,"GreenpointAveBridge,bikenyc",,01-12-2015,12:01-3PM
"& pedestrian path CLOSED on 12/3 & 12/7, from 10pm-5am. Shuttle bus available, see below:",path closed,"QueensboroBridge,bikenyc",,03-12-2015 and 07-12-2015,10pm-5am
"Reminder: lane closures for Mn & Bk bound vehicles begins tonight 11/30 + Tue 12/1, 10PM-5AM",reminder lane closures mn bk bound vehicles,WilliamsburgBridge,,01-12-2015 and 30-11-2015,10PM-5AM
Reminder Expect lane closures on Mon 11/30 12:01-5AM to clean drainage system.,reminder lane closures,"UniversityHeightsBridge,HarlemRiver",,30-11-2015,12:01-5AM
"Preventative maintenance work on Tues 12/1+ Thur 12/3, 10PM-5AM. Expect lane closures.",lane closures,QueensboroBridge,,01-12-2015 and 03-12-2015,10PM-5AM
"Expect lane closures 12/1, 12:01-3PM. Cyclists may need to dismount to pass work area.",lane closures,"GreenpointAveBridge,bikenyc",,01-12-2015,12:01-3PM
Expect lane closures on Mon 11/30 12:01-5AM to clean drainage system.,lane closures,UniversityHeightsBridge,,30-11-2015,12:01-5AM
"lane closures for Mn&Bk bound vehicles Mon11/30+Tue12/1 nights, 10PM-5AM",lane closures bound vehicles,WilliamsburgBridge,,01-12-2015 and 30-11-2015,10PM-5AM
"lane closures & full closures for North Tube only, 11/30 thru 12/12. See below for details:",lane closures full closures north tube,BatteryParkUnderpass,,12-12-2015 and 30-11-2015,empty
"REMINDER: full closures Saturdays & Sundays thru 11/22, 7am-3pm. Alt route: Metropolitan Ave",reminder full closures route,GrandStBridge,,22-11-2015,7am-3pm
eastbound traffic shift b/w Flatbush Ave & Mill Basin Bridge beginning 10pm on Mon 11/23,eastbound bridge,BeltParkway,,23-11-2015,10pm
"maintenance on 11/24: lane closure from 7am-3pm, 15min full bridge closures from 10am-2pm",lane closure full bridge closures,RooseveltIslandBridge,,24-11-2015,7am-3pm
"lane closures b/w Ave H & Ave I, one night only 11/23 from 9pm-5am",lane closures,NostrandAve,,23-11-2015,9pm-5am
"single lane closures: Lower Roadway closures on 11/23, Upper Roadway on 11/24 & 11/25. See below:",lane closures lower roadway closures upper roadway,ManhattanBridge,,23-11-2015 and 24-11-2015 and 25-11-2015,empty
"single lane closures, 11/19 from 10pm-6am",lane,UnionportBridge,,19-11-2015,10pm-6am
"single lane closures, 11/18 from 11pm-6am",lane,MacombsDamBridge,,18-11-2015,11pm-6am
"lane closures b/w Ave H and Ave I, one night only 11/18 from 9pm-5am",lane closures,NostrandAve,,18-11-2015,9pm-5am
CANCELED: All lane closures in the Battery Park Underpass are CANCELED for the week of 11/16 thru 11/21.,canceled lane closures canceled,,,16-11-2015 to 21-11-2015,empty
